year,csd,boro,grand_total_csd,grand_total_boro
2008,7,Bronx,19876.45837752,18737.35351563
2008,8,Bronx,18230.36544401,18737.35351563
2008,9,Bronx,19605.20520358,18737.35351563
2008,10,Bronx,18456.58884234,18737.35351563
2008,11,Bronx,17754.10188061,18737.35351563
2008,12,Bronx,19634.81366989,18737.35351563
2008,13,Brooklyn,18044.41539061,17601.73632813
2008,14,Brooklyn,18527.40873807,17601.73632813
2008,15,Brooklyn,18117.25106439,17601.73632813
2008,16,Brooklyn,18643.98387693,17601.73632813
2008,17,Brooklyn,18463.03773643,17601.73632813
2008,18,Brooklyn,17821.36327848,17601.73632813
2008,19,Brooklyn,18393.27490325,17601.73632813
2008,20,Brooklyn,15887.87442381,17601.73632813
2008,21,Brooklyn,17096.72593397,17601.73632813
2008,22,Brooklyn,16234.51891536,17601.73632813
2008,23,Brooklyn,19184.01011428,17601.73632813
2008,32,Brooklyn,18497.2928006,17601.73632813
2008,1,Manhattan,18927.64888769,18184.2265625
2008,2,Manhattan,16957.31274044,18184.2265625
2008,3,Manhattan,17649.23607457,18184.2265625
2008,4,Manhattan,19770.54017929,18184.2265625
2008,5,Manhattan,20318.1339532,18184.2265625
2008,6,Manhattan,19139.24647651,18184.2265625
2008,24,Queens,16237.22310328,16508.91992188
2008,25,Queens,17163.50730352,16508.91992188
2008,26,Queens,15059.04110151,16508.91992188
2008,27,Queens,16680.84750723,16508.91992188
2008,28,Queens,16297.66917917,16508.91992188
2008,29,Queens,16943.84960967,16508.91992188
2008,30,Queens,17247.01511027,16508.91992188
2008,31,Staten Island,17328.09829,17328.09765625
2009,7,Bronx,20496.65241455,19031.65234375
2009,8,Bronx,18620.62961557,19031.65234375
2009,9,Bronx,19522.31388345,19031.65234375
2009,10,Bronx,18652.20729495,19031.65234375
2009,11,Bronx,18093.20672006,19031.65234375
2009,12,Bronx,20234.29938428,19031.65234375
2009,13,Brooklyn,17823.8666661,17962.80273438
2009,14,Brooklyn,18862.16439262,17962.80273438
2009,15,Brooklyn,18468.7179677,17962.80273438
2009,16,Brooklyn,19442.18754046,17962.80273438
2009,17,Brooklyn,18813.73044144,17962.80273438
2009,18,Brooklyn,18575.42367025,17962.80273438
2009,19,Brooklyn,18554.2862632,17962.80273438
2009,20,Brooklyn,16347.83497503,17962.80273438
2009,21,Brooklyn,17515.47379463,17962.80273438
2009,22,Brooklyn,16605.63908698,17962.80273438
2009,23,Brooklyn,19620.64466684,17962.80273438
2009,32,Brooklyn,18921.52640154,17962.80273438
2009,1,Manhattan,19170.16312815,18414.4296875
2009,2,Manhattan,17288.15451863,18414.4296875
2009,3,Manhattan,17810.50353142,18414.4296875
2009,4,Manhattan,20064.23962942,18414.4296875
2009,5,Manhattan,20099.82394411,18414.4296875
2009,6,Manhattan,19411.83651274,18414.4296875
2009,24,Queens,16275.02234354,16497.7734375
2009,25,Queens,17198.24822048,16497.7734375
2009,26,Queens,15038.03826325,16497.7734375
2009,27,Queens,16600.01561155,16497.7734375
2009,28,Queens,16286.04658535,16497.7734375
2009,29,Queens,16886.7043403,16497.7734375
2009,30,Queens,17238.6524035,16497.7734375
2009,31,Staten Island,17863.61868519,17863.61914063
2010,7,Bronx,20871.91687683,19128.76171875
2010,8,Bronx,18548.56595822,19128.76171875
2010,9,Bronx,19992.26998402,19128.76171875
2010,10,Bronx,18533.70788668,19128.76171875
2010,11,Bronx,18218.88277334,19128.76171875
2010,12,Bronx,20196.37548148,19128.76171875
2010,13,Brooklyn,17868.59153704,18027.6015625
2010,14,Brooklyn,18566.60584731,18027.6015625
2010,15,Brooklyn,18489.62001704,18027.6015625
2010,16,Brooklyn,19705.45775133,18027.6015625
2010,17,Brooklyn,18927.67760469,18027.6015625
2010,18,Brooklyn,18797.07343748,18027.6015625
2010,19,Brooklyn,18532.10823324,18027.6015625
2010,20,Brooklyn,16368.10089891,18027.6015625
2010,21,Brooklyn,17767.6905358,18027.6015625
2010,22,Brooklyn,16838.48819001,18027.6015625
2010,23,Brooklyn,19660.20017359,18027.6015625
2010,32,Brooklyn,18877.77686426,18027.6015625
2010,1,Manhattan,19006.92053506,18491.3515625
2010,2,Manhattan,17503.75996414,18491.3515625
2010,3,Manhattan,17869.47654296,18491.3515625
2010,4,Manhattan,20009.84907684,18491.3515625
2010,5,Manhattan,20045.40301859,18491.3515625
2010,6,Manhattan,19436.93397491,18491.3515625
2010,24,Queens,16452.83592538,16679.20507813
2010,25,Queens,17116.88543365,16679.20507813
2010,26,Queens,15381.94463162,16679.20507813
2010,27,Queens,16892.7666575,16679.20507813
2010,28,Queens,16500.50960093,16679.20507813
2010,29,Queens,17020.27140738,16679.20507813
2010,30,Queens,17342.72414216,16679.20507813
2010,31,Staten Island,18294.39665531,18294.39648438
2011,7,Bronx,20099.72356233,18610.52734375
2011,8,Bronx,18309.07124076,18610.52734375
2011,9,Bronx,19319.08379479,18610.52734375
2011,10,Bronx,17894.95941789,18610.52734375
2011,11,Bronx,18008.00850376,18610.52734375
2011,12,Bronx,19457.68656175,18610.52734375
2011,13,Brooklyn,17557.17564787,17574.21484375
2011,14,Brooklyn,18471.75698269,17574.21484375
2011,15,Brooklyn,18193.98178351,17574.21484375
2011,16,Brooklyn,20101.28590157,17574.21484375
2011,17,Brooklyn,18112.5217716,17574.21484375
2011,18,Brooklyn,18131.21506999,17574.21484375
2011,19,Brooklyn,18583.19077479,17574.21484375
2011,20,Brooklyn,15751.53504117,17574.21484375
2011,21,Brooklyn,16840.00904341,17574.21484375
2011,22,Brooklyn,16385.54698269,17574.21484375
2011,23,Brooklyn,19339.11179678,17574.21484375
2011,32,Brooklyn,18658.79888729,17574.21484375
2011,1,Manhattan,18332.42167695,18175.82421875
2011,2,Manhattan,17427.85903431,18175.82421875
2011,3,Manhattan,17809.7137725,18175.82421875
2011,4,Manhattan,19722.90718654,18175.82421875
2011,5,Manhattan,19398.38918257,18175.82421875
2011,6,Manhattan,18660.89699196,18175.82421875
2011,24,Queens,15978.35323056,16326.90722656
2011,25,Queens,16464.20795553,16326.90722656
2011,26,Queens,15379.87142726,16326.90722656
2011,27,Queens,16574.11873817,16326.90722656
2011,28,Queens,16235.84530912,16326.90722656
2011,29,Queens,16867.81955276,16326.90722656
2011,30,Queens,16857.31382471,16326.90722656
2011,31,Staten Island,17635.72682373,17635.7265625
2012,7,Bronx,19578.43297705,18238.63085938
2012,8,Bronx,18212.7838962,18238.63085938
2012,9,Bronx,18672.77308722,18238.63085938
2012,10,Bronx,17487.08854688,18238.63085938
2012,11,Bronx,17763.09164243,18238.63085938
2012,12,Bronx,19104.24038106,18238.63085938
2012,13,Brooklyn,16704.36484345,17090.65625
2012,14,Brooklyn,17994.69809938,17090.65625
2012,15,Brooklyn,17168.83502074,17090.65625
2012,16,Brooklyn,19704.87328569,17090.65625
2012,17,Brooklyn,17785.20367053,17090.65625
2012,18,Brooklyn,17740.62280088,17090.65625
2012,19,Brooklyn,17948.89996138,17090.65625
2012,20,Brooklyn,15353.07109265,17090.65625
2012,21,Brooklyn,16682.28097472,17090.65625
2012,22,Brooklyn,16275.41954208,17090.65625
2012,23,Brooklyn,18773.96951322,17090.65625
2012,32,Brooklyn,17965.6563677,17090.65625
2012,1,Manhattan,18195.40660522,17910.88476563
2012,2,Manhattan,17221.77266965,17910.88476563
2012,3,Manhattan,17677.55456234,17910.88476563
2012,4,Manhattan,19490.16746946,17910.88476563
2012,5,Manhattan,18805.63961387,17910.88476563
2012,6,Manhattan,18270.74726523,17910.88476563
2012,24,Queens,15584.34488693,15908.54394531
2012,25,Queens,15874.52047426,15908.54394531
2012,26,Queens,14873.50528064,15908.54394531
2012,27,Queens,16295.74151249,15908.54394531
2012,28,Queens,15789.11248031,15908.54394531
2012,29,Queens,16499.7726661,15908.54394531
2012,30,Queens,16451.87364638,15908.54394531
2012,31,Staten Island,17345.21460009,17345.21484375
