year,csd,boro,enrollment_csd,enrollment_boro,enrollment_nyc,classroom_csd,classroom_boro,classroom_nyc,support_csd,support_boro,support_nyc,leadership_csd,leadership_boro,leadership_nyc,ancillary_csd,ancillary_boro,ancillary_nyc,building_csd,building_boro,building_nyc,grand_total_csd,grand_total_boro,grand_total_nyc,weight
2004,17,Brooklyn,35095,332420,1086886,7852.590732058,7571.275390625,8089.321289063,1420.405495322,1420.543579102,1708.364379883,1508.489688023,1307.135131836,1360.32019043,1237.065675346,1192.703735352,1387.405883789,1038.177494997,995.5385131836,988.8999633789,14588.21080434,14069.32324219,15144.33496094,0.1055743
2004,18,Brooklyn,25649,332420,1086886,7228.451028509,7571.275390625,8089.321289063,1547.906152961,1420.543579102,1708.364379883,1336.784230232,1307.135131836,1360.32019043,1201.051528919,1192.703735352,1387.405883789,1031.916172479,995.5385131836,988.8999633789,13936.92264235,14069.32324219,15144.33496094,0.0771584
2004,19,Brooklyn,32798,332420,1086886,7822.884595286,7571.275390625,8089.321289063,1334.296234277,1420.543579102,1708.364379883,1360.762947478,1307.135131836,1360.32019043,1243.891232254,1192.703735352,1387.405883789,974.3447616367,995.5385131836,988.8999633789,14368.43887127,14069.32324219,15144.33496094,0.0986643
2004,20,Brooklyn,42853,332420,1086886,7200.007356218,7571.275390625,8089.321289063,1223.481355456,1420.543579102,1708.364379883,1146.911295999,1307.135131836,1360.32019043,1198.548226176,1192.703735352,1387.405883789,744.5396731899,995.5385131836,988.8999633789,13016.64855178,14069.32324219,15144.33496094,0.1289122
2004,21,Brooklyn,38126,332420,1086886,7408.29660364,7571.275390625,8089.321289063,1426.732404814,1420.543579102,1708.364379883,1278.749353357,1307.135131836,1360.32019043,1166.774573649,1192.703735352,1387.405883789,882.8945464439,995.5385131836,988.8999633789,13741.75062675,14069.32324219,15144.33496094,0.1146923
2004,22,Brooklyn,43646,332420,1086886,6544.403344144,7571.275390625,8089.321289063,1291.001596423,1420.543579102,1708.364379883,1105.273496931,1307.135131836,1360.32019043,1035.748963363,1192.703735352,1387.405883789,808.1755946671,995.5385131836,988.8999633789,12282.79591992,14069.32324219,15144.33496094,0.1312978
2004,23,Brooklyn,13251,332420,1086886,8249.033685831,7571.275390625,8089.321289063,1555.560031507,1420.543579102,1708.364379883,1330.36939024,1307.135131836,1360.32019043,1466.505334884,1192.703735352,1387.405883789,1114.538308444,995.5385131836,988.8999633789,15370.55968149,14069.32324219,15144.33496094,0.0398622
2004,32,Brooklyn,18320,332420,1086886,8204.787552051,7571.275390625,8089.321289063,1608.140518972,1420.543579102,1708.364379883,1547.044265632,1307.135131836,1360.32019043,1172.529205608,1192.703735352,1387.405883789,1042.718635123,995.5385131836,988.8999633789,15098.3645062,14069.32324219,15144.33496094,0.055111
2004,1,Manhattan,10578,156579,1086886,8957.384263533,7729.170410156,8089.321289063,2329.26038947,1661.268676758,1708.364379883,1323.658222622,1433.248657227,1360.32019043,1277.970150849,1055.628051758,1387.405883789,1152.402502413,1090.938598633,988.8999633789,16717.15426171,14641.11816406,15144.33496094,0.067557
2004,2,Manhattan,58844,156579,1086886,6945.275381441,7729.170410156,8089.321289063,1480.156251032,1661.268676758,1708.364379883,1480.499816853,1433.248657227,1360.32019043,870.7900060039,1055.628051758,1387.405883789,1187.735961882,1090.938598633,988.8999633789,13584.63764498,14641.11816406,15144.33496094,0.3758103
2004,3,Manhattan,23666,156579,1086886,7653.627662763,7729.170410156,8089.321289063,1711.361202237,1661.268676758,1708.364379883,1555.495451439,1433.248657227,1360.32019043,1000.069566917,1055.628051758,1387.405883789,1252.228064977,1090.938598633,988.8999633789,14845.34519341,14641.11816406,15144.33496094,0.1511441
2004,4,Manhattan,17178,156579,1086886,7803.619945201,7729.170410156,8089.321289063,2058.38985596,1661.268676758,1708.364379883,1306.600935641,1433.248657227,1360.32019043,1091.719541655,1055.628051758,1387.405883789,989.6795855529,1090.938598633,988.8999633789,15176.39962195,14641.11816406,15144.33496094,0.1097082
2004,5,Manhattan,14110,156579,1086886,9501.273373123,7729.170410156,8089.321289063,1974.681511041,1661.268676758,1708.364379883,1536.432188473,1433.248657227,1360.32019043,1330.311646896,1055.628051758,1387.405883789,1058.95251155,1090.938598633,988.8999633789,17112.84607312,14641.11816406,15144.33496094,0.0901143
2004,6,Manhattan,32203,156579,1086886,7997.467934209,7729.170410156,8089.321289063,1386.818289825,1661.268676758,1708.364379883,1315.413437276,1433.248657227,1360.32019043,1221.567548181,1055.628051758,1387.405883789,843.3702136736,1090.938598633,988.8999633789,14371.04164456,14641.11816406,15144.33496094,0.2056662
2004,24,Queens,50721,272697,1086886,7026.313397938,7150.773925781,8089.321289063,1173.883014546,1294.973876953,1708.364379883,1170.510425254,1192.908325195,1360.32019043,1219.581456853,1247.313476563,1387.405883789,755.2736723827,880.6459350586,988.8999633789,12786.60050263,13282.04785156,15144.33496094,0.1859977
2004,25,Queens,31983,272697,1086886,7235.992216901,7150.773925781,8089.321289063,1268.647487564,1294.973876953,1708.364379883,1211.988207364,1192.908325195,1360.32019043,1339.67979241,1247.313476563,1387.405883789,874.9574810114,880.6459350586,988.8999633789,13537.36959482,13282.04785156,15144.33496094,0.117284
2004,26,Queens,32382,272697,1086886,6382.934568955,7150.773925781,8089.321289063,1197.406901482,1294.973876953,1708.364379883,1108.417740312,1192.908325195,1360.32019043,1103.952893803,1247.313476563,1387.405883789,784.2005672447,880.6459350586,988.8999633789,12152.11835789,13282.04785156,15144.33496094,0.1187472
